t1;r1;p1;l1;t2;r2;p2;l2;t3;r3;p3;l3;t4;r4;p4;l4;t5;r5;p5;l5;t6;r6;p6;l6;op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score
1.718.334.483;3;17;15;11.911.679;2;10;10;2.501.836.323;3;20;16;76.616.859;2;5;10;61.200.057;3;4;8;586.167.887;2;5;10;0;1;1;1;1;1;1;1;1;1;1;1;69;7.375.675.753;61;1.810.999.014
6.188.488.797;1;7;7;54.659.338;1;12;12;83.578.779;1;14;16;94.583.914;2;15;10;60.303.409;1;13;13;99.012.441;3;20;12;1;0;1;1;0;0;1;1;1;1;1;1;70;454.022.769;81;1.675.901.211
1.363.213.933;1;7;7;73.339.819;1;7;10;920.411.724;1;21;27;833.649;3;20;10;475.944.283;1;6;10;40.816.506;1;5;10;1;1;0;1;0;1;1;1;0;1;1;1;74;473.478.219;66;1.666.499.032
25.659.436;1;7;7;112.306.388;1;50;25;54.121.916;1;25;28;37.054.417;1;10;10;19.244.571;1;8;14;33.292.347;1;7;11;1;0;0;1;0;0;1;0;0;1;1;1;95;281.679.075;107;2.067.278.156
137.704.212;1;3;7;128.707.649;2;5;10;114.414.758;1;8;16;381.543.549;4;15;10;72.816.952;1;4;8;880.933.257;3;8;10;1;1;1;1;1;1;1;1;1;1;1;1;61;9.232.804.457;43;1.752.419.564
415.154.543;1;1;7;78.331.174;2;5;10;706.480.874;1;14;17;297.993.023;1;2;10;34.949.038;1;4;12;44.548.794;1;7;10;1;1;0;1;0;1;1;1;0;1;1;1;66;29.979.185;33;1.169.242.368
2.457.906.933;1;2;7;1.069.577.697;4;9;14;864.255.293;1;11;29;616.037.173;2;6;12;551.054.507;1;9;17;1.114.041.743;3;28;20;1;0;0;0;0;0;1;1;0;1;0;0;99;4.460.757.106;65;2.032.284.487
2.728.887;14;27;8;8.158.826;1;6;10;26.014.092;3;26;16;29.824.178;5;16;10;4.271.764;1;3;8;2.784.803.397;4;10;14;0;1;1;1;1;0;1;1;1;1;1;1;66;123.405.764;88;2.407.674.442
7.413.324.203;1;1;7;190.668.971;3;9;10;800.500.333;1;10;16;83.516.613;2;6;10;42.567.078;1;4;10;21.971.686;5;22;12;1;1;1;1;0;0;1;1;1;1;1;1;65;6.906.527.973;52;164.685.076
2.142.541.334;1;1;7;7.474.446.003;2;8;10;780.709.133;1;10;18;1.408.072.067;2;15;10;3.226.592;1;4;8;3.260.036;1;8;12;1;1;0;1;1;0;1;1;0;1;1;1;65;3.799.142.734;46;1.310.270.026
1.255.952.603;1;26;9;67.562.699;2;13;10;1.922.417.863;3;50;17;46.252.632;1;8;14;136.875.274;4;12;8;44.719.939;1;8;10;0;1;0;0;1;1;1;1;0;1;1;1;68;6.132.475.906;117;2.018.245.788
2.388.919;1;2;8;39.111.674;1;5;12;6.608.190.033;1;8;16;819.229.713;2;5;14;37.064.026;1;4;12;56.302.367;1;8;12;0;0;1;0;0;0;1;1;1;1;1;1;74;3.043.721.286;32;1.295.007.007
