t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
171.833448,3,17,15,119.11679,2,10,10,250.183632,3,20,16,76.616859,2,5,10,61.200057,3,4,8,58.616789,2,5,10,0,1,1,1,1,1,1,1,1,1,1,1,69,737.567575,61,18.10999,R
61.884888,1,7,7,54.659338,1,12,12,83.578779,1,14,16,94.583914,2,15,10,60.303409,1,13,13,99.012441,3,20,12,1,0,1,1,0,0,1,1,1,1,1,1,70,454.022769,81,16.759012,R
136.321393,1,7,7,73.339819,1,7,10,92.041172,1,21,27,83.3649,3,20,10,47.594428,1,6,10,40.816506,1,5,10,1,1,0,1,0,1,1,1,0,1,1,1,74,473.478219,66,16.66499,R
25.659436,1,7,7,112.306388,1,50,25,54.121916,1,25,28,37.054417,1,10,10,19.244571,1,8,14,33.292347,1,7,11,1,0,0,1,0,0,1,0,0,1,1,1,95,281.679075,107,20.672782,R
137.704212,1,3,7,128.707649,2,5,10,114.414758,1,8,16,381.543549,4,15,10,72.816952,1,4,8,88.093326,3,8,10,1,1,1,1,1,1,1,1,1,1,1,1,61,923.280446,43,17.524196,R
41.515454,1,1,7,78.331174,2,5,10,70.648087,1,14,17,29.799302,1,2,10,34.949038,1,4,12,44.548794,1,7,10,1,1,0,1,0,1,1,1,0,1,1,1,66,299.79185,33,11.692424,R
24.579069,1,2,7,106.95777,4,9,14,86.425529,1,11,29,61.603717,2,6,12,55.105451,1,9,17,111.404174,3,28,20,1,0,0,0,0,0,1,1,0,1,0,0,99,446.075711,65,20.322845,R
272.8887,14,27,8,81.58826,1,6,10,260.14092,3,26,16,298.24178,5,16,10,42.71764,1,3,8,278.48034,4,10,14,0,1,1,1,1,0,1,1,1,1,1,1,66,1234.05764,88,24.076744,R
74.133242,1,1,7,190.668971,3,9,10,80.050033,1,10,16,83.516613,2,6,10,42.567078,1,4,10,219.71686,5,22,12,1,1,1,1,0,0,1,1,1,1,1,1,65,690.652797,52,16.468508,R
21.425413,1,1,7,74.74446,2,8,10,78.070913,1,10,18,140.807207,2,15,10,32.26592,1,4,8,32.60036,1,8,12,1,1,0,1,1,0,1,1,0,1,1,1,65,379.914273,46,13.1027,R
125.59526,1,26,9,67.562699,2,13,10,192.241786,3,50,17,46.252632,1,8,14,136.875274,4,12,8,44.719939,1,8,10,0,1,0,0,1,1,1,1,0,1,1,1,68,613.247591,117,20.182458,R
23.88919,1,2,8,39.111674,1,5,12,66.0819,1,8,16,81.922971,2,5,14,37.064026,1,4,12,56.302367,1,8,12,0,0,1,0,0,0,1,1,1,1,1,1,74,304.372129,32,12.95007,R
52.81659,1,1,7,132.366858,3,28,10,78.101231,1,11,16,43.478579,1,9,10,39.117359,1,6,10,43.778145,1,5,13,1,1,1,1,0,0,1,1,1,1,1,1,66,389.658762,60,14.213889,R
83.195018,1,10,13,52.963373,1,6,10,73.312448,1,11,16,44.297242,1,5,10,63.796199,2,7,8,47.580572,1,6,10,0,1,1,1,1,1,1,1,1,1,1,1,67,365.144853,45,13.217606,R
107.556478,2,4,11,125.157256,4,10,10,213.64869,2,20,16,57.722791,2,18,10,45.728027,2,4,8,39.281497,1,5,10,0,1,1,1,1,1,1,1,1,1,1,1,65,589.094739,61,16.040084,R
68.461039,2,9,7,45.917745,1,6,10,138.817764,1,13,18,109.113107,2,7,10,48.966453,1,4,13,171.340603,2,13,16,1,1,0,1,0,0,1,1,0,1,1,0,74,582.616711,52,16.860187,R
