t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
'\'(135.14993-inf)\'',3,17,15,'\'(115.960834-inf)\'',2,10,10,'\'(241.1566-inf)\'',3,20,16,'\'(74.303022-112.254647]\'',2,5,10,'\'(58.860938-81.517634]\'',3,4,8,'\'(48.843097-64.248229]\'',2,5,10,0,1,1,1,1,1,1,1,1,1,1,1,69,'\'(573.253523-741.552114]\'',61,'\'(15.967208-18.512556]\'',R
'\'(55.369498-80.790919]\'',1,7,7,'\'(41.257811-57.36167]\'',1,12,12,'\'(82.466974-112.968721]\'',1,14,16,'\'(74.303022-112.254647]\'',2,15,10,'\'(58.860938-81.517634]\'',1,13,13,'\'(95.929302-inf)\'',3,20,12,1,0,1,1,0,0,1,1,1,1,1,1,70,'\'(366.642526-459.963402]\'',81,'\'(15.967208-18.512556]\'',R
'\'(135.14993-inf)\'',1,7,7,'\'(57.36167-76.549137]\'',1,7,10,'\'(82.466974-112.968721]\'',1,21,27,'\'(74.303022-112.254647]\'',3,20,10,'\'(46.650883-58.860938]\'',1,6,10,'\'(38.860268-48.843097]\'',1,5,10,1,1,0,1,0,1,1,1,0,1,1,1,74,'\'(459.963402-573.253523]\'',66,'\'(15.967208-18.512556]\'',R
'\'(-inf-37.138995]\'',1,7,7,'\'(76.549137-115.960834]\'',1,50,25,'\'(-inf-82.466974]\'',1,25,28,'\'(-inf-41.626247]\'',1,10,10,'\'(-inf-35.369728]\'',1,8,14,'\'(-inf-38.860268]\'',1,7,11,1,0,0,1,0,0,1,0,0,1,1,1,95,'\'(-inf-366.642526]\'',107,'\'(18.512556-21.845585]\'',R
'\'(135.14993-inf)\'',1,3,7,'\'(115.960834-inf)\'',2,5,10,'\'(112.968721-159.869152]\'',1,8,16,'\'(112.254647-inf)\'',4,15,10,'\'(58.860938-81.517634]\'',1,4,8,'\'(64.248229-95.929302]\'',3,8,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(741.552114-inf)\'',43,'\'(15.967208-18.512556]\'',R
'\'(37.138995-55.369498]\'',1,1,7,'\'(76.549137-115.960834]\'',2,5,10,'\'(-inf-82.466974]\'',1,14,17,'\'(-inf-41.626247]\'',1,2,10,'\'(-inf-35.369728]\'',1,4,12,'\'(38.860268-48.843097]\'',1,7,10,1,1,0,1,0,1,1,1,0,1,1,1,66,'\'(-inf-366.642526]\'',33,'\'(-inf-13.465411]\'',R
'\'(-inf-37.138995]\'',1,2,7,'\'(76.549137-115.960834]\'',4,9,14,'\'(82.466974-112.968721]\'',1,11,29,'\'(55.248765-74.303022]\'',2,6,12,'\'(46.650883-58.860938]\'',1,9,17,'\'(95.929302-inf)\'',3,28,20,1,0,0,0,0,0,1,1,0,1,0,0,99,'\'(366.642526-459.963402]\'',65,'\'(18.512556-21.845585]\'',R
'\'(135.14993-inf)\'',14,27,8,'\'(76.549137-115.960834]\'',1,6,10,'\'(241.1566-inf)\'',3,26,16,'\'(112.254647-inf)\'',5,16,10,'\'(35.369728-46.650883]\'',1,3,8,'\'(95.929302-inf)\'',4,10,14,0,1,1,1,1,0,1,1,1,1,1,1,66,'\'(741.552114-inf)\'',88,'\'(21.845585-inf)\'',R
'\'(55.369498-80.790919]\'',1,1,7,'\'(115.960834-inf)\'',3,9,10,'\'(-inf-82.466974]\'',1,10,16,'\'(74.303022-112.254647]\'',2,6,10,'\'(35.369728-46.650883]\'',1,4,10,'\'(95.929302-inf)\'',5,22,12,1,1,1,1,0,0,1,1,1,1,1,1,65,'\'(573.253523-741.552114]\'',52,'\'(15.967208-18.512556]\'',R
'\'(-inf-37.138995]\'',1,1,7,'\'(57.36167-76.549137]\'',2,8,10,'\'(-inf-82.466974]\'',1,10,18,'\'(112.254647-inf)\'',2,15,10,'\'(-inf-35.369728]\'',1,4,8,'\'(-inf-38.860268]\'',1,8,12,1,1,0,1,1,0,1,1,0,1,1,1,65,'\'(366.642526-459.963402]\'',46,'\'(-inf-13.465411]\'',R
