op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
0,1,1,1,1,1,1,1,1,1,1,1,69,'\'(573.253522-741.552114]\'',61,'\'(15.967208-18.512556]\'',9,6,4,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',1,R
1,0,1,1,0,0,1,1,1,1,1,1,70,'\'(366.642527-459.963403]\'',81,'\'(15.967208-18.512556]\'',5,4,2,2,1,'INGENIERIA CIVIL INDUSTRIAL',1,R
1,1,0,1,0,1,1,1,0,1,1,1,74,'\'(459.963403-573.253522]\'',66,'\'(15.967208-18.512556]\'',8,5,4,2,2,'INGENIERIA INDUSTRIAL',1,R
1,0,0,1,0,0,1,0,0,1,1,1,95,'\'(-inf-366.642527]\'',107,'\'(18.512556-21.845585]\'',9,6,4,3,3,'INGENIERIA CIVIL INDUSTRIAL',1,R
1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(741.552114-inf)\'',43,'\'(15.967208-18.512556]\'',6,4,3,2,3,'INGENIERIA EN COMPUTACION E INFORMATICA',1,R
1,1,0,1,0,1,1,1,0,1,1,1,66,'\'(-inf-366.642527]\'',33,'\'(-inf-13.465412]\'',8,4,4,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',1,R
1,0,0,0,0,0,1,1,0,1,0,0,99,'\'(366.642527-459.963403]\'',65,'\'(18.512556-21.845585]\'',5,2,2,2,3,'INGENIERIA CIVIL INFORMATICA',1,R
0,1,1,1,1,0,1,1,1,1,1,1,66,'\'(741.552114-inf)\'',88,'\'(21.845585-inf)\'',7,4,4,1,1,'INGENIERIA CIVIL INDUSTRIAL',5.2,R
1,1,1,1,0,0,1,1,1,1,1,1,65,'\'(573.253522-741.552114]\'',52,'\'(15.967208-18.512556]\'',8,4,5,2,3,'INGENIERIA EN COMPUTACION E INFORMATICA',3.6,R
1,1,0,1,1,0,1,1,0,1,1,1,65,'\'(366.642527-459.963403]\'',46,'\'(-inf-13.465412]\'',7,5,2,2,3,'INGENIERIA INDUSTRIAL',5,R
0,1,0,0,1,1,1,1,0,1,1,1,68,'\'(573.253522-741.552114]\'',117,'\'(18.512556-21.845585]\'',6,2,4,2,1,'INGENIERIA INDUSTRIAL',4.6,R
0,0,1,0,0,0,1,1,1,1,1,1,74,'\'(-inf-366.642527]\'',32,'\'(-inf-13.465412]\'',7,3,4,2,3,'INGENIERIA CIVIL INFORMATICA',3.6,R
1,1,1,1,0,0,1,1,1,1,1,1,66,'\'(366.642527-459.963403]\'',60,'\'(13.465412-15.967208]\'',9,5,4,3,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.4,R
0,1,1,1,1,1,1,1,1,1,1,1,67,'\'(-inf-366.642527]\'',45,'\'(-inf-13.465412]\'',5,3,3,1,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4,R
0,1,1,1,1,1,1,1,1,1,1,1,65,'\'(573.253522-741.552114]\'',61,'\'(15.967208-18.512556]\'',4,3,1,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',4.2,R
1,1,0,1,0,0,1,1,0,1,1,0,74,'\'(573.253522-741.552114]\'',52,'\'(15.967208-18.512556]\'',5,4,2,1,2,'INGENIERIA CIVIL INFORMATICA',4.6,R
0,0,0,0,0,0,1,0,0,1,0,0,109,'\'(741.552114-inf)\'',37,'\'(21.845585-inf)\'',5,4,3,0,0,'INGENIERIA CIVIL INFORMATICA',1,R
0,1,1,1,1,1,1,1,1,1,1,1,63,'\'(-inf-366.642527]\'',34,'\'(-inf-13.465412]\'',7,3,4,2,1,'INGENIERIA EN COMPUTACION E INFORMATICA',4.2,R
0,0,1,1,1,0,1,1,1,1,1,1,73,'\'(573.253522-741.552114]\'',47,'\'(15.967208-18.512556]\'',8,5,3,3,3,'INGENIERIA INDUSTRIAL',4.6,R
0,0,0,1,1,1,1,1,0,1,1,1,89,'\'(459.963403-573.253522]\'',109,'\'(18.512556-21.845585]\'',3,2,2,0,0,'INGENIERIA EN COMPUTACION E INFORMATICA',4.3,R
1,1,1,0,0,1,1,1,1,1,1,1,64,'\'(741.552114-inf)\'',47,'\'(15.967208-18.512556]\'',8,5,3,3,3,'INGENIERIA INDUSTRIAL',5,R
1,0,0,0,0,0,1,1,0,0,0,1,111,'\'(741.552114-inf)\'',37,'\'(21.845585-inf)\'',7,5,2,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',2.8,R
0,1,0,0,0,0,1,1,0,1,1,1,72,'\'(573.253522-741.552114]\'',41,'\'(15.967208-18.512556]\'',4,3,3,0,1,'INGENIERIA EN COMPUTACION E INFORMATICA',2,R
1,0,0,0,0,0,1,0,0,1,1,1,82,'\'(459.963403-573.253522]\'',17,'\'(13.465412-15.967208]\'',7,4,4,2,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.6,R
1,1,0,1,1,1,1,1,0,1,1,1,64,'\'(-inf-366.642527]\'',51,'\'(-inf-13.465412]\'',5,2,3,2,1,'INGENIERIA CIVIL INFORMATICA',4.2,R
0,1,1,1,1,1,1,1,1,1,1,1,63,'\'(459.963403-573.253522]\'',23,'\'(-inf-13.465412]\'',8,5,4,1,2,'INGENIERIA CIVIL INDUSTRIAL',3.8,R
0,1,1,0,1,1,1,1,1,1,1,1,66,'\'(741.552114-inf)\'',50,'\'(15.967208-18.512556]\'',8,5,4,2,3,'INGENIERIA INDUSTRIAL',6.6,R
1,1,0,1,0,1,1,1,0,1,1,1,73,'\'(741.552114-inf)\'',51,'\'(18.512556-21.845585]\'',7,4,3,2,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6.8,R
