op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa;sol1;estado
0;1;1;1;1;1;1;1;1;1;1;1;69;737.567575;61;18.10999;9;6;4;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';1;R
1;0;1;1;0;0;1;1;1;1;1;1;70;454.022769;81;16.759012;5;4;2;2;1;'INGENIERIA CIVIL INDUSTRIAL';1;R
1;1;0;1;0;1;1;1;0;1;1;1;74;473.478219;66;16.66499;8;5;4;2;2;'INGENIERIA INDUSTRIAL';1;R
1;0;0;1;0;0;1;0;0;1;1;1;95;281.679075;107;20.672782;9;6;4;3;3;'INGENIERIA CIVIL INDUSTRIAL';1;R
1;1;1;1;1;1;1;1;1;1;1;1;61;923.280446;43;17.524196;6;4;3;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';1;R
1;1;0;1;0;1;1;1;0;1;1;1;66;299.79185;33;11.692424;8;4;4;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';1;R
1;0;0;0;0;0;1;1;0;1;0;0;99;446.075711;65;20.322845;5;2;2;2;3;'INGENIERIA CIVIL INFORMATICA';1;R
0;1;1;1;1;0;1;1;1;1;1;1;66;1234.05764;88;24.076744;7;4;4;1;1;'INGENIERIA CIVIL INDUSTRIAL';5.2;R
1;1;1;1;0;0;1;1;1;1;1;1;65;690.652797;52;16.468508;8;4;5;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';3.6;R
1;1;0;1;1;0;1;1;0;1;1;1;65;379.914273;46;13.1027;7;5;2;2;3;'INGENIERIA INDUSTRIAL';5;R
0;1;0;0;1;1;1;1;0;1;1;1;68;613.247591;117;20.182458;6;2;4;2;1;'INGENIERIA INDUSTRIAL';4.6;R
0;0;1;0;0;0;1;1;1;1;1;1;74;304.372129;32;12.95007;7;3;4;2;3;'INGENIERIA CIVIL INFORMATICA';3.6;R
1;1;1;1;0;0;1;1;1;1;1;1;66;389.658762;60;14.213889;9;5;4;3;2;'INGENIERIA EN COMPUTACION E INFORMATICA';4.4;R
0;1;1;1;1;1;1;1;1;1;1;1;67;365.144853;45;13.217606;5;3;3;1;2;'INGENIERIA EN COMPUTACION E INFORMATICA';4;R
