;source;target;weight
0;lt;sv3;True
1;lt;sv4;True
2;lt;sv5;True
3;lt;sv6;True
4;op2;op1;True
5;op4;op5;True
6;op5;op6;True
7;sv1;op1;True
8;sv1;op2;True
9;sv1;sv2;True
10;sv1;sv3;True
11;sv1;score_d;True
12;sv2;op2;True
13;sv2;op6;True
14;sv2;sv4;True
15;sv3;op3;True
16;sv3;op4;True
17;sv3;op5;True
18;sv3;sv2;True
19;sv4;op4;True
20;sv5;op2;True
21;sv5;op5;True
22;sv5;sv6;True
23;sv6;op1;True
24;sv6;op6;True
25;sv6;score_a;True
26;sv6;programa;True
27;score;score_p;True
28;score_a;op1;True
29;score_a;sv2;True
30;score_a;score;True
31;score_a;score_d;True
32;score_p;op2;True
33;score_d;score_p;True
34;score_d;score_s;True
35;programa;op1;True
36;sol1;estado;True
37;estado;op1;True
38;estado;op2;True
39;estado;op5;True
40;estado;op6;True
41;estado;sv4;True
42;estado;sv6;True
43;estado;score_a;True
44;estado;programa;True
