;source;target;weight
0;lt;sv4;True
1;lt;sv5;True
2;lt;sv6;True
3;op1;op2;True
4;op1;op6;True
5;op2;op6;True
6;op2;sv2;True
7;op3;op5;True
8;op4;op1;True
9;op4;op2;True
10;op4;op5;True
11;op6;op5;True
12;op6;sv2;True
13;op6;sv3;True
14;sv1;op2;True
15;sv3;op3;True
16;sv4;op2;True
17;sv4;op4;True
18;sv4;op5;True
19;sv4;sv3;True
20;sv5;game_score;True
21;sv5;op1;True
22;sv5;op2;True
23;sv5;sv2;True
24;sv5;sv3;True
25;sv5;sv6;True
26;sv6;op1;True
27;sv6;op6;True
28;sv6;sv1;True
29;sv6;programa;True
30;score;score_a;True
31;score;score_p;True
32;score;programa;True
33;score_a;op1;True
34;score_a;score_p;True
35;score_p;op1;True
36;score_p;estado;True
37;score_d;op1;True
38;score_d;score;True
39;score_s;op1;True
40;score_s;op2;True
41;score_s;score;True
42;score_s;score_d;True
43;sol1;estado;True
44;estado;op1;True
45;estado;op2;True
46;estado;op5;True
47;estado;op6;True
48;estado;sv5;True
49;estado;sv6;True
50;estado;programa;True
