;source;target;weight
0;lt;op1;True
1;lt;op2;True
2;lt;op3;True
3;lt;op5;True
4;lt;sv2;True
5;lt;sv4;True
6;lt;sv5;True
7;lt;sv6;True
8;pt;game_score;True
9;game_score;lt;True
10;game_score;tt;True
11;op3;op1;True
12;op3;op5;True
13;op3;sv3;True
14;op5;op4;True
15;sv1;pt;True
16;sv1;score_d;True
17;sv2;op1;True
18;sv2;op2;True
19;sv2;sv4;True
20;sv4;op4;True
21;sv5;sv6;True
22;sv6;op6;True
23;sv6;programa;True
24;score;score_p;True
25;score_a;score;True
26;score_a;score_p;True
27;score_a;score_d;True
28;score_d;score_s;True
29;estado;programa;True
30;estado;sol1;True
