;source;target;weight
0;lt;tt;True
1;lt;op2;True
2;lt;op5;True
3;lt;sv2;True
4;lt;sv3;True
5;lt;sv4;True
6;lt;sv5;True
7;lt;sv6;True
8;pt;game_score;True
9;game_score;lt;True
10;game_score;tt;True
11;game_score;op1;True
12;op5;op4;True
13;sv1;pt;True
14;sv1;game_score;True
15;sv1;op1;True
16;sv1;op5;True
17;sv1;sv3;True
18;sv2;op2;True
19;sv2;sv4;True
20;sv3;op3;True
21;sv4;op4;True
22;sv5;op1;True
23;sv5;sv6;True
24;sv6;op6;True
25;score;score_p;True
26;score_a;score;True
27;score_a;score_d;True
28;score_d;score_p;True
29;score_d;score_s;True
30;score_s;op1;True
31;estado;sol1;True
