rut;usuario;correo;nombre;profesor;i1;f1;t1;r1;p1;s1;l1;i2;f2;t2;r2;p2;s2;l2;i3;f3;t3;r3;p3;s3;l3;i4;f4;t4;r4;p4;s4;l4;i5;f5;t5;r5;p5;s5;l5;i6;f6;t6;r6;p6;s6;l6;op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa2;sol1;sol2;sol3;sol4;tarea1;tarea2;controles;np;examen;final;estado
5;*;*;*;*;275.2502417;447.08369;171.8334483;3;17;[0 0 3 3 3 2 2 2 ] [1 2 2 0 2 2 2 ];15;447.100356;566.217146;119.11679;2;10;[2 3 3 3 3 ] [1 1 1 1 2 ];10;566.233812;816.4174443;250.1836323;3;20;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;816.4341103;893.0509693;76.616859;2;5;[2 2 2 2 0 0 ] [3 3 3 3 ];10;893.0676353;954.2676923;61.200057;3;4;[1 2 2 2 ] [3 3 3 3 ];8;954.2843583;1012.901147;58.6167887;2;5;[2 2 0 0 ] [1 1 1 1 3 3 ];10;0;1;1;1;1;1;1;1;1;1;1;1;69;737.5675753;61;18.10999014;9;6;4;3;3;INGENIERIA EN COMPUTACION E INFORMATICA;1;1;1;1;1;1;1;1;1;1;R
7;*;*;*;*;41.37336233;103.2582503;61.88488797;1;7;[3 3 3 0 0 3 3 ] [];7;103.2749003;157.9342383;54.659338;1;12;[2 3 3 3 3 3 3 2 ] [1 1 1 1 ];12;157.9507373;241.5295163;83.578779;1;14;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;241.5461623;336.1300763;94.583914;2;15;[2 2 2 2 0 0 2 2 ] [3 3 ];10;336.1467033;396.4501123;60.303409;1;13;[1 2 2 1 1 1 ] [1 1 3 3 3 3 3 ];13;396.4667903;495.4792313;99.012441;3;20;[2 2 0 0 2 2 0 ] [1 1 3 2 1 ];12;1;0;1;1;0;0;1;1;1;1;1;1;70;454.022769;81;16.75901211;5;4;2;2;1;INGENIERIA CIVIL INDUSTRIAL;1;1;1;1;1;1;1;1;1;1;R
16;*;*;*;*;570.704977;707.0263703;136.3213933;1;7;[] [2 2 2 2 2 1 1 ];7;707.0429973;780.3828163;73.339819;1;7;[2 3 3 3 3 3 ] [1 1 1 1 ];10;780.3994753;872.4406477;92.0411724;1;21;[3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 2 2 2 2 1 1 1 3 1 1 2 ] [];27;872.4572637;955.8221637;83.3649;3;20;[2 2 2 2 2 2 2 0 0 2 ] [];10;955.8389447;1003.433373;47.5944283;1;6;[1 2 2 2 2 2 2 2 2 ] [2 ];10;1003.449722;1044.266228;40.816506;1;5;[0 0 0 0 2 2 2 2 ] [1 1 ];10;1;1;0;1;0;1;1;1;0;1;1;1;74;473.478219;66;16.66499032;8;5;4;2;2;INGENIERIA INDUSTRIAL;1;1;1;1;1;1;1;1;1;1;R
44;*;*;*;*;25.28067;50.940106;25.659436;1;7;[3 3 3 0 0 3 3 ] [];7;50.948447;163.254835;112.306388;1;50;[3 3 1 0 3 2 2 2 1 1 1 3 3 2 2 2 3 3 3 3 3 0 0 0 0 ] [];25;163.263131;217.385047;54.121916;1;25;[3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 2 2 2 2 2 1 1 3 3 1 1 2 2 ] [];28;217.393529;254.447946;37.054417;1;10;[2 2 2 2 0 0 2 2 2 2 ] [];10;254.456361;273.700932;19.244571;1;8;[1 1 1 1 2 2 2 2 2 2 2 2 0 0 ] [];14;273.709273;307.00162;33.292347;1;7;[2 2 0 0 2 2 0 0 0 0 0 ] [];11;1;0;0;1;0;0;1;0;0;1;1;1;95;281.679075;107;20.67278156;9;6;4;3;3;INGENIERIA CIVIL INDUSTRIAL;1;1;1;1;1;1;1;1;1;1;R
103;*;*;*;*;85.44422333;223.1484353;137.704212;1;3;[3 3 0 ] [1 2 2 2 ];7;223.1650523;351.8727013;128.707649;2;5;[2 3 3 3 3 3 ] [1 1 1 1 ];10;351.8893483;466.3041063;114.414758;1;8;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;466.3207993;847.8643483;381.543549;4;15;[2 2 0 0 2 2 ] [3 3 3 3 ];10;847.8810643;920.6980163;72.816952;1;4;[1 2 2 2 ] [3 3 3 3 ];8;920.7147063;1008.808032;88.0933257;3;8;[2 2 0 0 2 2 ] [1 1 1 1 ];10;1;1;1;1;1;1;1;1;1;1;1;1;61;923.2804457;43;17.52419564;6;4;3;2;3;INGENIERIA EN COMPUTACION E INFORMATICA;1;1;1;1;1;1;1;1;1;1;R
122;*;*;*;*;63.448413;104.9638673;41.5154543;1;1;[3 3 3 0 ] [2 2 1 ];7;104.9804933;183.3116673;78.331174;2;5;[2 3 3 3 3 3 ] [1 1 1 1 ];10;183.3283063;253.9763937;70.6480874;1;14;[3 0 0 0 0 0 2 3 1 3 3 ] [3 0 0 2 2 1 ];17;253.9930687;283.792371;29.7993023;1;2;[2 2 2 2 2 2 2 ] [3 1 1 ];10;283.808876;318.757914;34.949038;1;4;[1 1 1 2 2 2 2 2 2 2 ] [1 1 ];12;318.774574;363.323368;44.548794;1;7;[2 2 0 0 2 2 0 0 ] [1 1 ];10;1;1;0;1;0;1;1;1;0;1;1;1;66;299.79185;33;11.69242368;8;4;4;3;3;INGENIERIA EN COMPUTACION E INFORMATICA;1;1;1;1;1;1;1;1;1;1;R
212;*;*;*;*;12.803729;37.38279833;24.57906933;1;2;[3 3 3 0 0 3 3 ] [];7;37.39935133;144.357121;106.9577697;4;9;[2 3 3 3 3 3 3 2 ] [1 1 1 1 1 0 ];14;144.373742;230.7992713;86.4255293;1;11;[3 3 3 3 3 3 3 3 3 0 0 0 0 ] [3 0 0 2 0 0 3 3 3 3 3 3 3 3 1 1 ];29;230.8326047;292.436322;61.6037173;2;6;[2 2 0 0 2 2 2 2 1 1 2 2 ] [];12;292.452923;347.5583737;55.1054507;1;9;[1 2 2 2 3 1 1 1 2 2 2 2 2 2 2 0 0 ] [];17;347.591707;458.9958813;111.4041743;3;28;[2 2 0 0 0 0 2 2 2 2 3 3 1 1 ] [1 1 1 1 1 1 ];20;1;0;0;0;0;0;1;1;0;1;0;0;99;446.0757106;65;20.32284487;5;2;2;2;3;INGENIERIA CIVIL INFORMATICA;1;1;1;1;1.4;1;1.6;1.12;1;1.1;R
12;*;*;*;*;24.03915333;296.9278533;272.8887;14;27;[3 3 3 3 3 ] [2 1 1 ];8;296.9445133;378.5327733;81.58826;1;6;[2 3 ] [1 1 1 1 2 2 2 2 ];10;378.5494333;638.6903533;260.14092;3;26;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;638.7069933;936.9487733;298.24178;5;16;[2 2 2 2 0 0 ] [3 3 3 3 ];10;936.9654133;979.6830533;42.71764;1;3;[1 2 2 ] [3 3 3 3 3 ];8;979.6996933;1258.180033;278.4803397;4;10;[2 2 3 3 0 0 0 ] [3 3 1 1 3 3 1 ];14;0;1;1;1;1;0;1;1;1;1;1;1;66;1234.05764;88;24.07674442;7;4;4;1;1;INGENIERIA CIVIL INDUSTRIAL;5.2;1;1;1;1;1;1;1.52;1;1.4;R
274;*;*;*;*;48.00004967;122.1332917;74.13324203;1;1;[3 0 0 3 ] [2 2 2 ];7;122.1499577;312.8189287;190.668971;3;9;[2 3 3 3 3 3 ] [1 1 1 1 ];10;312.8355947;392.885628;80.0500333;1;10;[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;392.902294;476.418907;83.516613;2;6;[2 2 0 0 2 2 ] [3 3 3 3 ];10;476.435573;519.002651;42.567078;1;4;[1 2 2 2 3 2 ] [3 3 3 3 ];10;519.019317;738.736177;219.71686;5;22;[2 2 0 0 2 2 0 ] [1 1 3 2 1 ];12;1;1;1;1;0;0;1;1;1;1;1;1;65;690.6527973;52;16.4685076;8;4;5;2;3;INGENIERIA EN COMPUTACION E INFORMATICA;3.6;2.2;1;2.3;1;1;1;1.63;1;1.4;R
439;*;*;*;*;48.12205333;69.54746667;21.42541334;1;1;[3 3 3 3 0 0 3 ] [];7;69.56406667;144.3085267;74.74446003;2;8;[2 3 3 3 3 3 0 ] [1 1 1 ];10;144.3418467;222.41276;78.0709133;1;10;[0 3 0 0 0 0 2 0 3 1 1 3 3 3 ] [3 0 0 2 ];18;222.4291;363.2363067;140.8072067;2;15;[2 2 2 2 0 0 2 2 2 2 ] [];10;363.2576867;395.5236067;32.26592;1;4;[1 2 2 2 2 2 2 2 ] [];8;395.55694;428.1573;32.60036;1;8;[2 2 0 1 0 0 2 2 0 0 0 0 ] [];12;1;1;0;1;1;0;1;1;0;1;1;1;65;379.9142734;46;13.10270026;7;5;2;2;3;INGENIERIA INDUSTRIAL;5;1;1;1;1;1;1;1.5;1;1.4;R
148;*;*;*;*;78.90935267;204.504613;125.5952603;1;26;[3 3 2 0 3 3 0 3 ] [2 ];9;204.52147;272.084169;67.562699;2;13;[2 3 3 3 3 3 ] [1 1 1 1 ];10;272.100816;464.3426023;192.2417863;3;50;[3 0 0 0 0 0 2 3 0 ] [3 0 0 2 2 2 2 0 ];17;464.3592863;510.6119183;46.252632;1;8;[2 2 2 2 0 0 1 ] [1 1 3 3 3 3 0 ];14;510.6287093;647.5039833;136.875274;4;12;[1 2 2 2 2 2 ] [3 3 ];8;647.5205003;692.2404393;44.719939;1;8;[2 2 0 0 2 2 0 ] [1 1 1 ];10;0;1;0;0;1;1;1;1;0;1;1;1;68;613.2475906;117;20.18245788;6;2;4;2;1;INGENIERIA INDUSTRIAL;4.6;1;1;2.2;1;1;1.6;1.66;1;1.5;R
260;*;*;*;*;13.36843467;37.25762467;23.88919;1;2;[3 3 3 3 3 0 0 3 ] [];8;37.27350767;76.38518167;39.111674;1;5;[2 3 3 3 3 3 0 0 ] [0 0 1 1 ];12;76.40113267;142.483033;66.08190033;1;8;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;142.499064;224.4220353;81.9229713;2;5;[2 2 0 0 2 2 1 ] [1 1 3 3 3 3 0 ];14;224.4380013;261.5020273;37.064026;1;4;[1 2 2 1 1 ] [1 1 3 3 3 3 3 ];12;261.5179023;317.8202693;56.302367;1;8;[2 2 0 0 2 2 0 ] [1 1 3 2 1 ];12;0;0;1;0;0;0;1;1;1;1;1;1;74;304.3721286;32;12.95007007;7;3;4;2;3;INGENIERIA CIVIL INFORMATICA;3.6;1.9;1;1.9;1;1;1.6;1.61;1.4;1.5;R
131;*;*;*;*;61.17310133;113.9896913;52.81658997;1;1;[3 3 3 0 3 3 0 ] [];7;114.0064723;246.3733303;132.366858;3;28;[2 3 3 3 3 3 0 0 ] [1 1 ];10;246.3899743;324.4912057;78.1012314;1;11;[3 0 0 0 0 0 2 3 1 ] [3 0 0 2 2 2 2 ];16;324.5078457;367.9864247;43.478579;1;9;[2 2 0 0 2 2 ] [3 3 3 3 ];10;368.0029417;407.1203007;39.117359;1;6;[1 2 2 1 0 ] [3 3 3 3 3 ];10;407.1368037;450.9149487;43.778145;1;5;[2 2 0 0 2 2 0 ] [1 1 1 3 3 3 ];13;1;1;1;1;0;0;1;1;1;1;1;1;66;389.6587624;60;14.21388912;9;5;4;3;2;INGENIERIA EN COMPUTACION E INFORMATICA;4.4;1;1;4.4;1;1;1;1.85;1;1.6;R
356;*;*;*;*;53.38038667;136.5754047;83.19501803;1;10;[1 2 3 0 0 3 3 ] [0 3 1 2 2 2 ];13;136.5922267;189.5556;52.9633733;1;6;[2 3 3 3 3 ] [1 1 1 1 2 ];10;189.572261;262.8847093;73.3124483;1;11;[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;262.9015243;307.1987667;44.2972424;1;5;[2 2 0 0 2 2 ] [3 3 3 3 ];10;307.2154147;371.011614;63.7961993;2;7;[1 2 2 ] [3 3 3 3 3 ];8;371.028445;418.609017;47.580572;1;6;[2 2 0 0 ] [1 1 1 1 3 3 ];10;0;1;1;1;1;1;1;1;1;1;1;1;67;365.1448533;45;13.21760551;5;3;3;1;2;INGENIERIA EN COMPUTACION E INFORMATICA;4;2;2.5;2.8;1;1;1;1.91;1;1.6;R
